Tuotannon järjestämistavat:;Edistyksellinen;Konservatiivinen;Keskiverto;min;max
tietotuotanto;4,3;1,3;2,5;0;5
innovatiivinen ja uudistava tuotanto;3,8;1,1;2,5;0;5
dynaamiset prosessit tai projektimaisuus;4,5;1,6;2,5;0;5
automaatio apuna työssä;3,9;1,7;2,5;0;5
fyysinen tuotanto;1,2;3,9;2,5;0;5
ylläpitävä tai bulkkituotanto;1,7;3,8;2,5;0;5
staattiset tuotantoprosessit;0,7;4,2;2,5;0;5
kaikki automatisoitu;2,7;2,3;2,5;0;5
;;;;;
Tehtävien ja osaamistarpeiden muodot:;Edistyksellinen;Konservatiivinen ;Keskiverto;min;max
asiantuntijaluontoiset tehtävät;3,7;2,3;2,5;0;5
moniosaajuusvaatimus;4,5;0,7;2,5;0;5
jatkuva oppiminen tärkeä;3,9;0,8;2,5;0;5
jakava, uudistuva työntekijä;4,2;0,9;2,5;0;5
rutiiniluontoiset tehtävät;1,3;4,4;2,5;0;5
kapeat erikoistuneet tehtävät;2,2;3,9;2,5;0;5
muodollinen koulutus tärkeä;1,8;4,3;2,5;0;5
muuttumaton, toistava työntekijä;2,3;3,9;2,5;0;5